"Table PORT0101: All UK major and minor port freight tonnage traffic, by port and year (filter by direction) from 1965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To view the data in this table, you will need to 'enable editing'. You can either click on the yellow banner at the top or use F2 and select enable content. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This worksheet contains one table and formulas are used in the table. To view all unfiltered data please see the data tab.. Notes are used throughout, please see the notes tab to find the related note text.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, 0 is used for a true zero, ""z"" is not applicable and ""LOW"" means the figure is less than half of the smallest unit displayed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The figures in this table are in thousand tonnes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To see the years prior to 2000, please click the plus symbol at the top of the page above column AE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Filters are used throughout this table. The drop-down menu is available in cell B8, to use the filter, select the cell, then either click on the arrow and select the value or hold alt and the down arrow then use the left and right arrows to select the value. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direction,Both Directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ports,Port Group [Note 1],Port Type,1965,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,"2020 
[Note 11, 12] ",2021 [Note 12],2022
Manchester,Lancs and Cumbria,Major Port,"15,816","15,951","14,520","15,417","14,159","14,628","13,545","12,695","11,593","11,963","11,402","10,735","9,510","9,754","9,157","8,215","8,063","8,133","7,546","7,484","7,438","7,686","8,379","8,529","7,939","7,409","7,825","7,687","7,879","6,279","6,088","6,634","7,222","8,049","8,079","7,438","6,670","7,084","7,355","6,438","7,489","7,125","6,528","6,134","6,789","6,789","7,307","7,112","7,354","6,215"
Medway,Thames and Kent,Major Port,"22,280","26,911","21,667","20,863","20,501","20,542","18,880","17,161","15,809","12,580","8,580","11,548","10,352","10,379","11,628","12,731","14,010","13,593","16,077","14,335","13,602","14,660","14,214","14,111","13,803","15,528","13,973","15,292","14,853","14,840","15,619","14,535","15,470","18,957","15,417","14,971","13,150","13,971","16,076","12,649","8,384","8,447","9,091","9,170","8,694","10,205","13,141","9,694","9,879","13,373"
Milford Haven,West and North Wales,Major Port,"24,845","41,296","44,910","43,465","38,798","41,236","41,480","39,295","32,526","35,956","30,743","32,067","32,375","29,966","32,669","33,264","33,026","32,180","35,668","35,592","35,740","34,294","32,473","36,587","34,518","28,783","32,187","33,768","33,792","34,543","32,737","38,452","37,547","34,307","35,496","35,875","39,293","42,788","48,699","39,832","41,105","34,309","37,684","34,768","31,990","30,935","34,951","33,583","30,322","38,902"
Newhaven,Sussex and Hampshire,Major Port,387,624,"1,274","1,405","1,361","1,327","1,335","1,207","1,166","1,064","1,328","1,581","1,608","1,822","1,794","2,062","2,308","1,964","1,191",837,"1,187","1,216",989,"1,325","1,241","1,012",461,578,998,863,949,929,876,"1,046","1,003","1,196",861,824,754,793,706,699,864,803,707,689,778,865,986,"1,140"
Newport,Bristol Channel,Major Port,"4,498","3,733","3,472","2,582","2,159","2,199","2,433","1,985","2,533","2,015","2,388","2,455","2,508","2,372","2,660","3,292","3,479","3,206","3,299","3,296","2,794","2,262","2,523","2,684","2,974","2,628","2,532","2,673","2,980","3,111","2,790","3,448","3,971","3,846","2,843","3,195","2,734","2,068","2,444","2,464","2,442","2,617","2,571","2,751","3,450","2,819","2,588","2,329","2,769","2,561"
Orkney,Scotland East Coast,Major Port,z,z,444,z,"8,999","15,564","17,752","15,407","15,647","15,867","16,057","16,053","16,089","15,835","17,111","8,031","4,491","8,609","9,164","8,520","11,852","14,097","12,879","11,448","10,483","16,156","16,998","22,798","18,407","18,812","14,422","17,934","14,534","11,249","10,592","4,789","3,241","3,244","2,344","1,729","1,054","1,151","3,945","4,615","4,852","3,470","3,050","2,670","2,778","2,222"
Peterhead,Scotland East Coast,Major Port,16,29,615,498,469,519,454,750,916,"1,051","1,236","2,173","1,435","1,247",918,"1,997","1,291","1,594","2,024","1,833","1,467","1,424","1,304","1,458",819,"2,818","2,209","1,123","1,339","1,343","1,051",676,928,947,790,871,797,"1,107","1,054","1,024",971,"1,377","1,468","1,148","1,288","1,131","1,090",976,966,776
Plymouth,West Country,Major Port,"1,647","1,922","1,381","1,504","1,634","1,675","1,920","1,699","1,410","1,551","1,595","1,760","1,589","1,600","1,524","1,681","1,718","1,498","1,583","1,610","1,613","1,626","1,650","1,841","1,773","1,310","1,671","1,799","1,877","1,854","2,053","2,167","2,308","2,452","2,486","2,322","1,944","2,208","2,141","2,374","2,161","2,089","2,217","2,343","2,384","2,441","2,431","1,935","2,317","1,983"
Poole,West Country,Major Port,"1,028","1,131","1,021",990,"1,052","1,099","1,212","1,269","1,310","1,475","1,535","1,527","1,538","1,592","1,677","1,927","1,878","1,891","1,780","1,856","1,902","1,823","1,727","1,668","1,768","1,700","1,581","1,296","1,819","1,798","1,640","1,754","1,712","1,806","1,405","1,518","1,127",982,950,752,634,573,582,657,818,832,812,499,532,583
Port Talbot,Bristol Channel,Major Port,"3,695","3,721","3,656","5,372","4,442","5,100","6,328","2,440","5,248","5,312","5,727","6,647","6,789","6,126","7,616","7,804","8,712","8,905","9,418","9,403","10,127","11,092","11,028","12,208","13,050","13,302","11,821","11,725","8,271","4,971","7,819","8,555","8,573","8,659","9,052","8,147","5,156","8,832","7,056","5,572","8,477","9,476","8,113","7,799","7,589","6,635","6,713","6,676","7,406","5,980"
